FeatureID,FeatureName,cluster 1 Average,cluster 1 Log2 Fold Change,cluster 1 P-Value,cluster 2 Average,cluster 2 Log2 Fold Change,cluster 2 P-Value,cluster 3 Average,cluster 3 Log2 Fold Change,cluster 3 P-Value
ENSMUSG00000020167,Tcf3,0.486548424,-0.635223418,0.037357691,,,,1.034345909,0.901082892,0.033858342
ENSMUSG00000050912,Tmem123,,,,,,,2.569031982,0.711694084,0.188668999
ENSMUSG00000010142,Tnfrsf13b,,,,0.63385286,-0.381076016,0.745445072,1.128377355,0.682895008,0.241566248
ENSMUSG00000068105,Tnfrsf13c,1.065036112,-0.536524063,0.111361381,,,,2.116287982,0.849743468,0.064401025
ENSMUSG00000027940,Tpm3,1.183535608,-0.597649383,0.052745018,1.704741896,0.333747232,0.833013855,,,
ENSMUSG00000036752,Tubb4b,,,,1.22774076,0.560874121,0.172191208,,,
ENSMUSG00000001525,Tubb5,,,,1.16457034,0.270582451,1,,,
ENSMUSG00000060126,Tpt1,,,,,,,9.323043763,-0.579048105,0.54973964
ENSMUSG00000038991,Txndc5,0.185629753,-1.946539944,1.41E-16,0.538882364,0.471821366,0.426000284,1.195708514,1.863061265,1.41E-09
ENSMUSG00000038393,Txnip,0.672470047,-0.671674553,0.021047423,1.030064614,0.410299383,0.592683149,,,
ENSMUSG00000090137,Uba52,27.38097224,0.330559188,0.536362519,,,,15.9505194,-0.705420284,0.354980822
ENSMUSG00000033685,Ucp2,,,,2.450324752,-0.315078097,0.913566874,4.641206446,0.852816999,0.058141445
ENSMUSG00000063882,Uqcrh,,,,,,,1.58344312,-0.458519139,0.687433174
ENSMUSG00000036908,Unc93b1,,,,2.054542729,-0.360779884,0.79296541,,,
ENSMUSG00000030403,Vasp,1.027676665,0.436484988,0.291998707,0.773515355,-0.320489533,0.907620769,,,
ENSMUSG00000026728,Vim,0.091939264,-4.436101749,3.36E-67,1.635125514,1.285599992,4.74E-07,2.971858054,2.051879085,1.28E-11
ENSMUSG00000000903,Vpreb3,0.782213423,-1.155765219,1.65E-06,,,,3.028741275,1.62908118,2.28E-07
ENSMUSG00000086503,Xist,2.243901789,1.058774824,1.64E-05,1.038229499,-0.967570144,0.000924906,1.181777929,-0.57167707,0.570762478
ENSMUSG00000042675,Ypel3,0.543463206,-0.968644812,0.00011418,1.063153882,0.713212887,0.02517622,,,
ENSMUSG00000022285,Ywhaz,1.689347496,-0.666152573,0.020162145,,,,3.438532639,0.797430282,0.094860238
ENSMUSG00000044786,Zfp36,0.705451434,-0.693438862,0.015963558,1.144802725,0.533387469,0.228988219,,,
